user_id,hour_0_wt,hour_1_wt,hour_2_wt,hour_3_wt,hour_4_wt,hour_5_wt,hour_6_wt,hour_7_wt,hour_8_wt,hour_9_wt,hour_10_wt,hour_11_wt,hour_12_wt,hour_13_wt,hour_14_wt,hour_15_wt,hour_16_wt,hour_17_wt,hour_18_wt,hour_19_wt,hour_20_wt,hour_21_wt,hour_22_wt,hour_23_wt,session_all_per_day,pid_exposed_all_per_day,pid_watch_all_per_day,coverage_per_2weeks,category_count_unique,age,gender,month_chronological_order,preds_3_label_criteria_label,preds_soft_label,watch_all_per_day_min,midnight_wt_min,morning_wt_min,noon_wt_min,afternoon_wt_min,evening_wt_min
102,29.83333333,0,0,0,0,0,118.1818182,1.111111111,0,173,237,32.71428571,376,128.2727273,193.875,338.6666667,260.7272727,52.33333333,17.08333333,21.33333333,8.75,1,96.33333333,596,7.346153846,194.0714286,27.61538462,9.333333333,256,57,F,4,Non-Addicted,Non-Addicted,20,0,9,8,14,12
19,713.2307692,735.9166667,1017.909091,2021.894737,1343.764706,1662.428571,1377.25,1177.142857,1830.5,1084.166667,1877.6,1910,2363.3,1572.090909,1792,708,852,1419,1816,1064.333333,1225,1465.727273,1105.277778,779.1333333,9.857142857,1495.178571,913.6785714,9.333333333,527,19,M,4,Severely Addicted,Addicted,248,124,154,65,79,124
102,18.75,0,380,0,0,172.6666667,49.33333333,1.25,0,86,0,437.6666667,71.09090909,54.77777778,308.1428571,81.25,372.25,163.5,2.142857143,12.8,54.66666667,157.1111111,336.1666667,253.75,5.444444444,163.3928571,19.55555556,9.333333333,258,57,F,5,Severely Addicted,Addicted,13,9,9,2,15,13
19,990.25,663.0625,907.0416667,1446.076923,1378.357143,1255.066667,1651,1607.823529,1587.5,1348.764706,965,1170.375,751.3636364,474.6153846,856.4285714,638.9,540,499.8461538,740.4375,495.5882353,619.8,1215.8,884.45,508.7333333,12.57142857,983.8214286,580.8214286,9.333333333,449,19,M,5,Severely Addicted,Addicted,207,110,138,20,42,74
102,201.5,0,0,0,1031.5,121.5,11.625,21.5,235.6666667,281.25,179.1,190.2,40.25,186.4545455,199.75,67.3,108.75,187.9090909,70.72727273,1.545454545,98.91666667,86.77777778,250,178,8.206896552,230.8666667,24.62068966,10,298,57,F,6,Severely Addicted,Addicted,16,22,15,3,9,11
19,284.3333333,724.3333333,931.9047619,1261,1113.052632,1860.066667,1754.666667,1764.842105,1093.909091,1196,1781.333333,738,946.5454545,1377.73913,974.5,918.1428571,802.6428571,870.1176471,1289.736842,1046,1203.875,909.3529412,1037.888889,895.5,9.933333333,1121.766667,692.8333333,10,469,19,M,6,Severely Addicted,Addicted,212,102,138,38,59,106
102,315.5,2013,0,0,0,370,94.75,74.25,4.375,116.5833333,110.75,115,16,13.05,68,218.75,116,7.533333333,8.583333333,0.2,8.833333333,41,64.125,238.8666667,9.035714286,191.5333333,13.82142857,10,247,57,F,7,Severely Addicted,Addicted,11,44,8,0,6,6
19,601.2857143,772.9444444,735.4090909,679.5,667.7894737,807.5,826.047619,1354.222222,1782.666667,1288,1663.333333,0,1005.916667,1797.368421,512.2857143,1031.666667,765.5,581.4761905,909.5217391,1196.181818,865,551.7647059,427.6,485.875,12.66666667,1053.7,611.5333333,10,461,19,M,7,Severely Addicted,Addicted,178,71,115,46,48,73
102,261.75,0,0,0,0,445.5,53.45454545,0.2,28,166,233.8571429,31.71428571,0.857142857,91.375,41.55555556,132.6153846,217.7,13.5,20.5,0,0.666666667,0,74.875,119.5,8.421052632,193.6315789,12.42105263,6.333333333,202,57,F,8,Severely Addicted,Addicted,11,11,8,1,6,3
19,152.8571429,640,753.0769231,1068.764706,766.5833333,660.8461538,1216.866667,1662.692308,1854.769231,1603.333333,657.3333333,1755.333333,1160,841.4,1430.5,1196.142857,1113.444444,1582.8,1183.583333,854.9230769,1039.066667,816.6,168.8333333,216.5714286,11.14285714,1105.380952,668.7619048,7,437,19,M,8,Severely Addicted,Addicted,194,67,145,33,88,71
102,99.8,0,0,0,0,0,3,30,263,15.25,5.142857143,149.4,32.5,3.555555556,3.666666667,279.5,0,494,96.75,14,2.25,33,6.25,7.714285714,4.166666667,107.1111111,9.388888889,9,202,57,F,9,Non-Addicted,Non-Addicted,4,1,7,0,12,2
19,845.5263158,860.3888889,1181.833333,1074.05,707.7777778,480.6875,683.625,850.9333333,1733.333333,1966.6,1537.75,1498,990,1519.333333,886.7894737,899.4375,1034.555556,757.6470588,1463.380952,1067.823529,783.8333333,582.7777778,808.9333333,493.2777778,14.71428571,1251.25,713.4642857,9.333333333,470,19,M,9,Severely Addicted,Addicted,204,85,137,41,59,86
102,0,0,0,0,0,0,356.75,206.5,250.8571429,1.125,193.2857143,64.77777778,155,17.75,90.6,168.1428571,0.666666667,18.5,0,152.5,442.125,158.625,135.6666667,0,5.8,150.8965517,13.84,9.666666667,231,57,F,10,Non-Addicted,Non-Addicted,12,0,17,2,4,14
19,861.0909091,616.875,580.3,530.68,562.173913,1361.541667,1121.619048,1122.294118,1130,1439.2,349,340,1116.2,1500.222222,1703.230769,1532.5625,1071.315789,1237.136364,1038.65,888.8571429,984.6,611.9411765,392.6666667,808.0833333,14.9,1114.233333,659.8333333,10,483,19,M,10,Severely Addicted,Addicted,206,75,91,43,92,78
113,718.3333333,0,0,0,0,0,0,0,399.75,503.6666667,833,1003.307692,958,457,657.4,1236.75,647.25,479.5,621.3636364,565.4545455,1136.357143,950.6666667,382.625,129.3333333,7.636363636,175.1304348,102.7727273,7.666666667,245,68,F,1,Severely Addicted,Addicted,77,11,45,23,50,63
26,1386.555556,1013.333333,778.75,618.5,286.25,465.25,460,458.8,317.6666667,387,564.2,610.8333333,823.5454545,1065.545455,667.8571429,732.9090909,357.1666667,763.4166667,609.75,961.2727273,594.3333333,1110.5,893.0769231,761,10.15384615,331.3461538,157.6538462,8.666666667,390,23,M,1,Severely Addicted,Addicted,102,75,46,31,42,82
113,449.5555556,16.66666667,427,0,0,0,0,0,203,606.8571429,870.875,861,241.7142857,552.5555556,177.8,687.2,1038.833333,551.5,939.5,819.8666667,710.625,511.4545455,478.1428571,563.1428571,6.769230769,108.8333333,67.57692308,10,226,68,F,2,Severely Addicted,Addicted,59,14,42,13,40,67
26,673.2727273,691.5833333,1221,944,1013.111111,377,471.1111111,1213.3,1273.083333,1433.545455,1051.076923,895.7692308,1381.166667,867.7142857,795.3846154,1293.923077,1198.333333,645.3571429,740,548.7142857,782.2307692,562.3571429,551.4444444,264.1111111,11,462.5,228.1,10,433,23,M,2,Severely Addicted,Addicted,140,81,105,37,65,57
113,766,364.5,0,0,0,0,0,0,127.5,513.7,394.875,888,293.7142857,313.1111111,514,192.6666667,168.875,200.3333333,263.4,621.2,591.3571429,732.0666667,536.1111111,57,5.464285714,89.9,41.5,10,187,68,F,3,Severely Addicted,Addicted,35,18,32,10,17,46
26,512.25,711.4,917.3333333,819,811.1666667,579.6,1028.4,878.5,1127.222222,1203.714286,406.6,979.7142857,843,460.1428571,526,1103.1,1022.2,1269.222222,1080.1875,899.5333333,841.625,1226.933333,467.4666667,705.6,11.03333333,378.6,175.7,10,407,23,M,3,Severely Addicted,Addicted,123,72,93,21,65,87
113,180.1428571,317,0,0,0,0,0,0,442.3333333,500.25,330.5,98.4,83.66666667,28.6,0,325,592,80.625,162,478.1,605.3636364,723.1111111,1209.4,389,4.347826087,52.77777778,28,9,138,68,F,4,Non-Addicted,Non-Addicted,24,8,22,1,16,59
26,1121,1070.333333,743.5,953.8571429,697.625,838.2727273,716.5,1090.8,912.1111111,1002.666667,955.2857143,595.8571429,1304.2,716.7142857,679.8571429,1038.166667,977.875,1427.25,944.6,440.6666667,951,290.4444444,569.1428571,897.6,9.111111111,256.9655172,118.8888889,9.666666667,354,23,M,4,Severely Addicted,Addicted,99,90,87,33,68,68
113,309.8,0,0,0,130,14,0,114.6,241.8,176.1666667,399.6153846,308,221.3333333,398.6666667,102.375,275.3,54.2,96.5,0,555.0769231,792.0555556,909.4166667,251.75,124.3333333,5.925925926,89.32142857,41.88888889,9.333333333,205,68,F,5,Severely Addicted,Addicted,33,7,20,10,8,43
26,1096.75,770,1461.5,711.3333333,958.25,1261.2,963.7142857,1039.777778,1670.222222,1334.090909,1615.857143,627.1666667,951.5,1277,1061,1182.6,426,464.25,499.2,983.4,605.25,780.2,895.3333333,432.4444444,8.592592593,232.7407407,109.9259259,9,319,23,M,5,Severely Addicted,Addicted,92,104,120,37,52,69
113,221.8,502.5,0,84,227.5,0,77.75,146.7692308,163.7777778,190,451.9230769,279.25,110.5,394.0588235,296.6875,408.8571429,461.75,471.5,384.8,621.875,868.037037,1048.730769,736.3529412,467,9.6,436.3666667,108.6666667,10,303,68,F,6,Severely Addicted,Addicted,69,17,21,8,27,68
26,882.5,1384.125,1072.5,974.75,1437.833333,963.1111111,473.4,763.75,906.7272727,751.625,454.2,885,358.5555556,832.5,1607.25,1432.666667,1073.272727,940.0769231,1267.066667,313.7368421,689.9166667,1187.538462,820.8571429,624.1,11.89285714,361.6666667,180,10,382,23,M,6,Severely Addicted,Addicted,134,111,70,19,84,81
113,374.6666667,0,0,0,0,0,0,0,236.6666667,485.6666667,232.5555556,231.2,387.8571429,131,106.1428571,151.8333333,406.3333333,117.5,300.5,386.6923077,420.6,560.4375,414.4761905,413.625,7.208333333,117.7586207,55.91666667,9.666666667,211,68,F,7,Severely Addicted,Addicted,37,6,19,8,13,41
26,697.3,860.1,839.8,859.9090909,700.5454545,1048.166667,1423.125,669.8181818,565.6363636,744.375,687.2777778,966.4444444,812.4705882,1615,988.5833333,1252,817.7,1231.4,898.0769231,953.4545455,701.1818182,819.7272727,560.6923077,516.375,11.93103448,365.8333333,173.2068966,10,375,23,M,7,Severely Addicted,Addicted,133,83,84,40,71,74
113,0,387,0,0,89.5,0,0,304.5,276,155.5,188.5,30,252.6,299,129.6666667,141.6666667,291.5,171.5,303.5,740.125,843.125,720.75,282.3333333,118.375,5.736842105,84.52631579,29,6.333333333,142,68,F,8,Severely Addicted,Addicted,31,7,15,9,12,50
26,953,945,1022.857143,975.8333333,684.2222222,1022.25,193.5,914.6666667,520.5,524,558,845.8,346.25,1095.625,731.5714286,569,552.7142857,768.75,698.8571429,763.3,676.8888889,1086,524.3,1228,10.75,248,107.75,7,291,23,M,8,Severely Addicted,Addicted,99,93,59,24,43,82
113,179.6666667,0,0,0,0,0,169.5,278,157.625,276.625,490.5,404.2857143,293,534.7,456,242.5555556,264.1428571,250.8,111,802.3571429,666.8461538,543.8888889,439.8,374,7.222222222,90.74074074,42.62962963,9,188,68,F,9,Severely Addicted,Addicted,42,2,29,13,20,48
26,925,559.75,324,0,277,147,303,473.3333333,861.2,607,1855.6,910,736,419.8,767,1464.2,1303,1374.181818,433,245.1666667,598.1666667,367.7142857,691,503.875,7.16,159.1481481,68.6,9,269,23,M,9,Severely Addicted,Addicted,59,37,83,19,81,47
113,188.625,0,0,0,0,21,139.25,327.7777778,478.2666667,388.5,227.3571429,103.2,153.625,601.1111111,275.4444444,523.5,350.5,335.3333333,81.75,723.5,449.3181818,444.8823529,471.2142857,354.625,8.068965517,97.06896552,40.68965517,9.666666667,186,68,F,10,Severely Addicted,Addicted,41,3,27,12,24,42
26,888.1666667,479.75,0,174.5,43,74.5,10.44444444,383.75,499.3333333,696.4285714,857.8,253.5,164,733.5,0,592.25,93.5,918.5,258.1,523.4285714,602.7142857,517,590.1818182,1572.8,6.777777778,154.5925926,49.44444444,9,257,23,M,10,Severely Addicted,Addicted,42,27,45,14,26,67
6,0,342,195.6,0,180.5,368.1666667,311.25,424,557,20,646,0,0,0,521,154.5,44,173,160,15.75,147.6666667,136.5,86.5,59.85714286,3.555555556,48.60869565,13.94444444,7.666666667,146,21,M,1,Mildly Addicted,Addicted,11,18,32,0,14,10
6,118,0,122.3333333,0,450,188.25,40.5,157.3333333,485.6666667,72.33333333,72.66666667,242,394.6,373.3333333,0,1565.5,639,262.6,119.5,980,683,946,74.5,86.6,3.842105263,77.95238095,22.05263158,7,149,21,M,2,Severely Addicted,Addicted,18,14,17,12,41,48
6,158.75,153.0909091,273.4545455,395.2222222,344.6923077,581.125,440.5,26,239.6666667,12.33333333,0,306.3333333,156.5,0,673,182.5,278.4,349.1111111,216.5555556,229.4545455,373.3,404.7777778,622.2857143,52.63636364,7.551724138,150.8,33.13793103,10,216,21,M,3,Severely Addicted,Addicted,27,31,17,2,24,31
6,321.4,276.4444444,117,0,105,10,84.6,131.4444444,458.3333333,49,80.33333333,159.5,557.4,207.8,311.125,381.75,220.25,188.4,26.8,237.2222222,208.8571429,214.625,142.8,194.2,6.62962963,138.7857143,24,9.333333333,208,21,M,4,Severely Addicted,Addicted,19,13,16,12,18,17
6,381.4285714,543.7142857,182.5714286,153,413.3333333,399.8888889,223.5,418.2222222,534.7142857,164,583.4,709.6666667,366.3333333,0,35,1,23.33333333,9.375,143.3333333,15,188.8333333,0,0,181.75,5.2,107.7142857,24.36,9.333333333,189,21,M,5,Severely Addicted,Addicted,21,34,43,6,1,8
6,75.83333333,0,39.85714286,303.75,103.5454545,492,121.4,175.8,372.5,0,24,0,87.5,18,28.33333333,226,168,124.0909091,395.2857143,479.1428571,47,149.5,4,335.4,5.310344828,122,21.17241379,10,215,21,M,6,Mildly Addicted,Addicted,13,16,11,1,9,23
6,237.875,375,100.75,100.125,259.4444444,724.1666667,27,341,0,4,0,576,1,121,10.5,550.5,0,0,429.6666667,86.5,24.75,22,279,67.5,3.461538462,89.65517241,19.19230769,9.666666667,190,21,M,7,Mildly Addicted,Addicted,12,29,15,2,9,15
